id,Name,POINT_X,POINT_Y
13773,¿Detumo 1?,-5.100619000000000,37.801108999999997
13775,¿Detumo 2?,-5.110923000000000,37.782581000000000
3708,Abdera,-3.022522000000000,36.748069999999998
10833,ABDERA - ?ßd??a,24.973631000000001,40.931190000000001
10834,Abila Dekapoleas,35.869793000000001,32.681418999999998
18099,Abuneiteichos-Ionopolis,33.763728999999998,41.978546000000001
10828,ABYDOS,31.919100000000000,26.184849000000000
18311,Abydus,26.409669999999998,40.171138999999997
3737,Acci,-3.134636000000000,37.300308000000001
10829,ACCO,35.087704000000002,32.920859999999998
10830,ACERRAE,14.371335999999999,40.945926999999998
10831,ACHETATON,30.896142999999999,27.646153999999999
10832,ACHILLEUM,26.150948000000000,39.915154000000001
10788,Acinipo,-5.238205000000000,36.831913000000000
2111,Actanicopoli,20.733395000000002,39.026505000000000
2972,Ad Aqvas,8.336988000000000,36.525790999999998
2082,Ad Aqvas casaris,7.949211000000000,35.450260000000000
2216,Ad aqvas Hercvlis,5.616667000000000,35.099997999999999
1995,Ad Dianam,5.794601000000000,35.654507000000002
2396,Ad Horrea,10.500000000000000,36.033332999999999
1987,Ad Pretorivm,16.806660000000001,45.184528000000000
2048,Ad Zizio,18.387915000000000,42.776688000000000
10835,ADAB,45.626530000000002,31.948319999999999
11069,ADADA ~ Sagrak,30.985008000000001,37.575951000000003
10836,ADANA,35.335014000000001,36.986300999999997
2066,Adaqvas - Calan,22.991755999999999,45.737445999999998
2302,Adaqvas - El Hamma,9.791839000000000,33.884101999999999
2363,Adaqvas - Korbous ?,10.583333000000000,36.799999000000000
1778,Adbirivm,12.917845000000000,41.777087999999999
1857,Addiana,14.221111000000001,41.100796000000003
2053,Addiana - ~ Split,16.442450000000001,43.506905000000003
2964,Addianam,35.059345000000000,29.895498000000000
2093,Adhercvlem,21.771868000000001,43.166744000000001
2040,Admatricem,17.437389000000000,44.053581000000001
2938,Admercvriv¯,8.285494000000000,35.477969999999999
2156,Adnovas - Svi?tov,25.346045000000000,43.620117000000000
1981,Adprotoriv¯,15.005997000000001,45.907707000000002
2501,Adraha,36.100349000000001,32.612479999999998
1621,Adretio,11.863047999999999,43.471274999999999
3467,Adrimitio,26.938091000000000,39.500698000000000
1616,Adtaberna Frigida,10.101042000000000,44.082565000000002
1866,Adteglanvm,14.549704000000000,40.865943999999999
3998,adtygrem,40.235771000000000,37.912253999999997
1787,Aecas,15.308897999999999,41.361190999999998
11707,Aeclanum,15.010281000000001,41.055641000000001
10556,Aelium Cetium [St. Pölten],15.626367000000000,48.202762999999997
2203,Aenos,26.088899999999999,40.729328000000002
16586,Agatha,3.473416000000000,43.308193000000003
2598,Agetincvm,3.284003000000000,48.198028999999998
2173,AGGAR,9.520203000000000,35.856059999999999
2664,Aginnvm,0.612095000000000,44.201492000000002
1908,Agrigento,13.591611000000000,37.297573000000000
1912,Agris,14.900017000000000,37.061886000000001
12879,Aguntum,12.822571000000000,46.829605000000001
10853,AI - Et Tell,35.261462999999999,31.916971000000000
10854,AIANTEION,26.241012999999999,39.999226000000000
15987,Aiungi,-4.116235000000000,37.576816999999998
10840,AKROKORINTH,22.873605999999999,37.891953000000001
10842,ALABANDA,27.983291999999999,37.596499999999999
10843,ALALAKH,36.384276999999997,36.237578999999997
10844,ALALIA,9.509064000000000,42.102679999999999
16706,Alba Helviorum,4.601146000000000,44.560969999999998
11677,Alba Longa,12.651316000000000,41.746597000000001
11676,Albana,12.660071000000000,41.730502999999999
2427,Albania,45.583331999999999,34.516666000000001
16630,Albiga,2.143706000000000,43.928573999999998
3776,Albocela,-5.393213000000000,41.519615000000002
11361,Alet,-2.027308000000000,48.635815000000001
3473,Alexandria,29.885365000000000,31.213819999999998
2442,Alexandria Bvcefalos,73.720718000000005,32.933540000000001
2321,Alexandria catisson,36.172569000000003,36.586863999999998
18374,Alexandria Eschate,69.616776000000002,40.285980000000002
10848,ALEXANDRIA IN ARACHOSIA,65.658714000000003,31.603055999999999
10849,ALEXANDRIA IN ARIA,62.188384999999997,34.345832999999999
10850,ALEXANDRIA IN THE CAUCASUS,69.310066000000006,34.992496000000003
18379,Alexandria on the Acesines,71.052322000000004,29.240819999999999
10851,ALEXANDRIA ON THE OXUS,69.408630000000002,37.164467000000002
2291,Alexandria troas,26.158484999999999,39.751640000000002
10852,ALINDA,27.829301999999998,37.558284999999998
12935,Altava,-1.031389000000000,34.903610000000000
1642,Altino,12.402094999999999,45.550933999999998
2250,Amasia,35.833331999999999,40.650002000000001
2299,Amasia - Amasya,35.833331999999999,40.650002000000001
2366,Amathvs,33.143504999999998,34.711990000000000
10857,AMBRACIA,20.989927000000002,39.154972000000001
1688,Amiternvs,13.314537000000000,42.397018000000003
10707,Ammaia,-7.386568000000000,39.369143999999999
10858,AMMON,25.524491999999999,29.195685999999998
2211,Amphipoli,23.847597000000000,40.820141000000000
10861,AMUS,28.268294999999998,36.757164000000003
2262,Amvrio,31.153449999999999,39.026038999999997
10862,ANAIA,35.064017999999997,31.353071000000000
2319,Anazarbo,35.898345999999997,37.255637999999998
2178,Ancialis,27.641380000000002,42.556030000000000
1663,ANCONE,13.518757000000001,43.615856000000001
2381,Andaga,42.298518999999999,39.944369999999999
10863,ANDAUTONIA,16.117453000000001,45.773766000000002
11119,Andelos,-1.859285000000000,42.599437999999999
2820,Andemantvnno,5.335214000000000,47.864220000000003
2672,Anderitvm,3.342787000000000,44.695197999999998
2805,Andesina,5.487371000000000,48.387523999999999
12010,Anemurium,32.803885999999999,36.021816000000001
